address,prize_id,prize_name
3PBjdkPJM5oyyzi4CaPcJCmdV9F6E748ZGr,2,Mantle x1Genesis Duck
3PM56Hi1746M3wFwLcg1zzpPdFzXY7iid4B,2,Mantle x1Genesis Duck
3PQkfqnYCtVzHJqk6J7BoEPs5pD81w3mXCk,2,Mantle x1Genesis Duck
3P2fWPM5Cim8nqCKBPup89QRiMkvnaskn57,2,Mantle x1Genesis Duck
3P2EDoG2nxrXGwcGT8RkGhWJje61ZMCuXr3,2,Mantle x1Genesis Duck
3P3iV85eXfkcA3Dd13EpZBYvs1vkKX6AYEN,2,Mantle x1Genesis Duck
3PC3uTiH2rFqHEn5webtWJzaiRHeCU6wVpp,2,Mantle x1Genesis Duck
3P58vMvwJY1GUbdRwMK16KRGY4dcpjb24SR,2,Mantle x1Genesis Duck
3PKfEovvch6wqDEAaFW9QCBiZJ5fu6DQQHZ,2,Mantle x1Genesis Duck
3PKCJqu7humZkNdy9DLQYCNCCnMU3MKFy1N,2,Mantle x1Genesis Duck
3PAA5BPyowrbwvQRbgZMw2vuQefAHyDhXdY,2,Mantle x1Genesis Duck
3P4D8pf4MgupDAY2y3vGcxzosZTeS9mwESP,2,Mantle x1Genesis Duck
3P4WExAqRxnVnpe9DQFRmo1eMvRfL29iAnr,2,Mantle x1Genesis Duck
3PH1caqTUdnqCNzWv2M9yL79CaeGCKbLdeo,2,Mantle x1Genesis Duck
3PLsGEDTfRKr1ppqdo7Jiuo1MYscuMNFinK,2,Mantle x1Genesis Duck
3P61L5HFVGrEo7oECt9fEMFWt7n51F3D9Rr,2,Mantle x1Genesis Duck
3P6EM7vqB4SePdcwMKYE155RDTkKH4mS7Kc,2,Mantle x1Genesis Duck
3PLxDymYtmqTP2n8B9e7tKGA5vFd2F41sid,2,Mantle x1Genesis Duck
3PBwmY7U6YwDjb22jC4fWfCnNyuuTECTQs4,2,Mantle x1Genesis Duck
3PJP7mvFrHrMa7DBnKftqhe6GwFbeT22uYE,2,Mantle x1Genesis Duck
3PRDb4XYTGZdg76D6iqSVbeQ2iKk46EauMN,2,Mantle x1Genesis Duck
3P9z4dWKE8R3C3cbbzxH89xEtGHiMvnPmUn,2,Mantle x1Genesis Duck
3PJmwdeatVk54wGBRzFDZP586KPSRBwD39T,2,Mantle x1Genesis Duck
3P56LX4ZRKWtbiMrCoCi1UEVPMhjDxPbDY6,2,Mantle x1Genesis Duck
3PNKjNq62vhGmfVmfnsS9JUaFaX1zW5yAni,2,Mantle x1Genesis Duck
3PNggS2NseJmXNQEbudhUN8o7q6U5pAJPkk,2,Mantle x1Genesis Duck
3PFKTefq9qCDZDjGBG3miFzKG11TLCasqUW,2,Mantle x1Genesis Duck
3PLoB6fEsBiheKgzUdQtcepCwf7mNBFMnRx,2,Mantle x1Genesis Duck
3P3g8cFaT3sTLCrALWUCcw4HxoQjSRMt2ZE,2,Mantle x1Genesis Duck
3PQsctpqfggNA2Gqz34HSYchYbh3K9g8zDo,2,Mantle x1Genesis Duck
3PJtkTCiiaEJoWM44AVgdqQAidyWgJF8gKD,2,Mantle x1Genesis Duck
3PPUQvdP7CmVN2q4zGt3AXrQ8Q8C7xT353r,2,Mantle x1Genesis Duck
3PCkcKHHcjjVDXfwSARqVgNJPcKtcGmrd2R,2,Mantle x1Genesis Duck
3PFBU2k9bEpLuLX8zgXPKPa1S6AYDNpg38h,2,Mantle x1Genesis Duck
3P8jbKG6aRJmang9DBRhLkY4QRiFkjqnwB5,2,Mantle x1Genesis Duck
3PCkUMgEYSKXTeHwJQNUpkfJXwYna4Aefz6,2,Mantle x1Genesis Duck
3P8dLgTiAos7kvs4HvkoduRs35BPeybmfQS,2,Mantle x1Genesis Duck
3PNVx8obHSu1QBBW84dNHZRZSum6eyEgauf,2,Mantle x1Genesis Duck
3PEVJtisJAPZ7Vq4XYq9cHSC6Xf54hkzTkF,2,Mantle x1Genesis Duck
3PNCoHEcPbx1Pd3PLUHJ8VVVhHHsW7rAxVK,2,Mantle x1Genesis Duck
